CA DistanceNominal (au),V relative(km/s),H(mag)
0.02442,6.61,49.0
0.014,10.21,59.49999999999999
0.02116,4.0,69.0
0.03942,4.0,76.5
0.02377,26.92,38.5
0.02993,3.15,74.0
0.048,22.48,31.999999999999993
0.04886,5.29,73.0
0.03184,5.46,64.0
0.02585,4.44,100.0
0.04055,6.16,61.0
0.04784,19.04,46.99999999999999
0.02211,8.53,68.0
0.03941,6.87,56.99999999999999
0.0464,6.83,61.99999999999999
0.03934,5.03,71.5
0.04965,5.14,25.500000000000007
0.01985,5.04,46.99999999999999
0.0048,9.56,72.5
0.01903,20.61,65.0
0.03608,17.63,41.99999999999999
0.03204,11.59,64.5
0.04824,20.57,49.49999999999999
0.00231,7.57,66.0
0.04619,8.94,60.0
0.04251,13.31,47.5
0.03541,12.43,46.5
0.04129,24.74,55.0
0.01427,15.14,71.0
0.03821,7.72,58.00000000000001
0.01258,14.63,61.99999999999999
0.04076,12.04,44.49999999999999
0.01386,4.01,76.5
0.03018,15.39,34.0
0.0141,8.08,62.5
0.01218,10.64,58.5
0.03988,10.64,51.5
0.00932,7.99,74.5
0.00236,4.63,73.5
0.03361,10.14,55.0
0.01641,16.75,56.5
0.04796,8.58,62.5
0.04901,9.0,65.0
0.02502,10.16,62.5
0.01109,1.35,76.5
0.01915,6.64,62.5
0.03669,2.54,67.5
0.03759,8.68,51.99999999999999
0.04222,7.04,74.0
0.00986,9.16,68.5
0.0058,24.98,66.5
0.00368,10.58,41.5
0.01854,9.6,88.0
0.04209,15.09,45.50000000000001
0.034,8.06,62.5
0.00835,5.19,79.5
0.03725,5.89,63.5
0.02824,17.32,52.5
0.02441,9.69,75.5
0.02717,11.02,63.5
0.02871,19.54,21.500000000000004
0.02023,9.42,60.50000000000001
0.03432,6.2,67.0
0.02759,22.44,36.99999999999999
0.04448,5.7,61.0
0.02335,7.55,25.999999999999996
0.03946,13.52,44.0
0.01573,7.89,69.0
0.02702,9.86,61.5
0.02086,12.84,61.99999999999999
0.04861,7.36,58.5
0.03987,4.75,61.5
0.03808,11.32,59.49999999999999
0.04151,3.53,74.0
0.00764,8.2,63.00000000000001
0.01028,16.71,34.0
0.02635,3.56,60.50000000000001
0.03118,12.53,25.0
0.01779,8.84,67.0
0.02685,9.98,66.5
0.04378,17.78,34.0
0.02946,8.76,56.0
0.03199,25.68,25.500000000000007
0.02951,9.89,68.5
0.0283,6.69,54.49999999999999
0.03884,7.45,66.5
0.03061,17.2,53.5
0.04966,7.91,66.0
0.04758,16.68,58.5
0.04437,13.21,63.00000000000001
0.04998,8.9,57.5
0.04288,4.52,60.50000000000001
0.01981,12.19,68.5
0.01351,7.55,70.5
0.01632,14.79,53.5
0.04195,11.73,64.5
0.00128,9.21,71.0
0.03354,5.55,53.00000000000001
0.00168,10.24,81.0
0.00117,7.7,61.99999999999999
0.03159,14.09,59.49999999999999
0.02692,13.81,64.5
0.01166,12.13,63.00000000000001
0.00073,17.2,74.0
0.04582,13.93,26.999999999999993
0.00341,17.04,80.0
0.04757,14.08,36.99999999999999
0.00982,19.39,71.0
0.0363,11.61,57.5
0.04966,8.69,63.5
0.03606,2.55,71.0
0.0109,6.34,70.5
0.02344,9.19,63.00000000000001
0.02181,5.53,68.0
0.02822,12.36,59.49999999999999
0.01906,14.11,55.0
0.04278,9.04,66.5
0.0351,12.1,51.5
0.02207,16.05,53.00000000000001
0.03122,4.47,63.00000000000001
0.00594,8.92,68.0
0.03886,6.19,59.49999999999999
0.00416,4.05,70.5
0.04578,3.13,72.5
0.0297,3.95,58.5
0.02901,4.23,60.50000000000001
0.04284,15.57,32.5
0.03507,7.91,62.5
0.03673,7.06,73.0
0.03012,9.56,60.50000000000001
0.0271,0.79,82.5
0.00998,2.73,71.5
0.00959,2.48,67.5
0.04742,16.56,58.5
0.02245,4.83,61.0
0.00981,10.26,56.5
0.00885,10.44,58.5
0.02745,7.82,63.5
0.03177,12.45,44.49999999999999
0.0418,6.91,56.5
0.03165,10.76,87.0
0.0316,9.9,46.5
0.01471,9.03,61.99999999999999
0.01839,4.83,87.0
0.02316,7.0,61.99999999999999
0.02486,11.77,53.5
0.04259,15.57,73.0
0.0163,11.05,51.5
0.02889,8.88,51.99999999999999
0.03025,7.0,65.0
0.04739,7.71,66.5
0.03735,5.98,58.00000000000001
0.03848,18.97,45.50000000000001
0.04251,8.81,56.5
0.02986,18.67,64.5
0.03182,9.27,48.5
0.00739,9.42,70.5
0.04916,5.35,63.00000000000001
0.01575,10.31,63.5
0.00957,13.87,55.50000000000001
0.01979,7.55,64.5
0.01904,9.51,41.99999999999999
0.04357,7.41,36.5
0.03688,12.49,59.49999999999999
0.03814,19.03,35.0
0.02849,5.56,63.5
0.01685,4.99,78.5
0.03731,13.15,50.50000000000001
0.02978,25.88,36.0
0.03643,16.88,61.99999999999999
0.00944,3.65,86.0
0.03111,9.75,55.50000000000001
0.02591,7.23,48.00000000000001
0.01869,28.89,40.0
0.02776,3.91,57.5
0.02401,9.07,80.0
0.03859,13.46,56.5
0.0397,4.04,63.00000000000001
0.03265,5.31,72.0
0.035,5.32,61.5
0.00684,8.95,74.5
0.01609,8.12,67.5
0.04808,4.49,71.5
0.04164,4.07,80.5
0.03194,10.2,70.0
0.03706,9.04,44.0
0.04985,11.33,53.00000000000001
